rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year
9,9,0,OLD,20197803,겨울왕국 2,2019-11-21,44596990,0.5,23464294,111.0,114947172857,4185,2262,117.6,13760292,306,363,20231202,2023
10,10,15,OLD,20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,33854800,0.4,30777500,1000.1,407964500,3799,3405,864.2,49059,144,155,20231202,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,3153832065,79.6,948103513,43.0,30823867524,323985,82515,34.2,3276885,2281,8573,20231201,2023
2,2,0,OLD,20202247,싱글 인 서울,2023-11-29,269488814,6.8,-801341,-0.3,1133958195,28341,-2418,-7.9,130082,886,3031,20231201,2023
3,3,0,OLD,20234114,괴물,2023-11-29,154355316,3.9,27855431,22.0,701768699,15606,1794,13.0,78509,619,1571,20231201,2023
4,4,1,OLD,20235030,프레디의 피자가게,2023-11-15,73489214,1.9,31390010,74.6,5779719442,7259,2801,62.8,594395,422,609,20231201,2023
5,5,3,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,27797251,0.7,4700489,20.4,19211604294,2953,346,13.3,1969702,178,219,20231201,2023
6,6,1,OLD,20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,28090700,0.7,596600,2.2,136496100,2562,-206,-7.4,15067,171,275,20231201,2023
7,7,2,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,15862600,0.4,1631444,11.5,470915137,2356,198,9.2,56306,66,68,20231201,2023
8,8,-4,OLD,20136803,겨울왕국,2014-01-16,20589151,0.5,-81849220,-79.9,82667235202,2017,-8945,-81.6,10318030,274,342,20231201,2023
9,9,-3,OLD,20197803,겨울왕국 2,2019-11-21,21132696,0.5,-16377925,-43.7,114902575867,1923,-1593,-45.3,13756107,263,308,20231201,2023
10,10,3,OLD,20232536,명탐정코난: 흑철의 어영,2023-07-20,20605000,0.5,5731000,38.5,7571069905,1704,388,29.5,789410,39,182,20231201,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,2205728552,71.9,-507192535,-18.7,27670035459,241470,-105262,-30.4,2952900,2119,7700,20231130,2023
2,2,0,OLD,20202247,싱글 인 서울,2023-11-29,270290155,8.8,-133273011,-33.0,864469381,30759,-21214,-40.8,101741,873,3122,20231130,2023
3,3,0,OLD,20234114,괴물,2023-11-29,126499885,4.1,-70996613,-35.9,547413383,13812,-11631,-45.7,62903,623,1681,20231130,2023
4,4,0,NEW,20136803,겨울왕국,2014-01-16,102438371,3.3,102438371,100.0,82646646051,10962,10962,100.0,10316013,318,395,20231130,2023
5,5,0,OLD,20235030,프레디의 피자가게,2023-11-15,42099204,1.4,-11231299,-21.1,5706230228,4458,-2259,-33.6,587136,396,559,20231130,2023
6,6,0,NEW,20197803,겨울왕국 2,2019-11-21,37510621,1.2,37510621,100.0,114881443171,3516,3516,100.0,13754184,284,342,20231130,2023
7,7,-3,OLD,20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,27494100,0.9,-46886200,-63.0,108405400,2768,-6036,-68.6,12505,176,306,20231130,2023
8,8,-1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,23096762,0.8,-4483378,-16.3,19183807043,2607,-869,-25.0,1966749,181,215,20231130,2023
9,9,-1,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,14231156,0.5,-8611156,-37.7,455052537,2158,-972,-31.1,53950,59,61,20231130,2023
10,10,50,OLD,20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,9114300,0.3,8540300,1487.9,49444890,1405,1323,1613.4,6653,150,173,20231130,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,2712921087,72.3,552953062,25.6,25464306907,346732,114455,49.3,2711430,2194,7833,20231129,2023
2,2,39,OLD,20202247,싱글 인 서울,2023-11-29,403563166,10.7,401933166,24658.5,594179226,51973,51810,31785.3,70982,917,3423,20231129,2023
3,3,0,NEW,20234114,괴물,2023-11-29,197496498,5.3,197496498,100.0,420913498,25443,25443,100.0,49091,647,1835,20231129,2023
4,4,0,NEW,20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,74380300,2.0,74380300,100.0,80911300,8804,8804,100.0,9737,168,338,20231129,2023
5,5,-3,OLD,20235030,프레디의 피자가게,2023-11-15,53330503,1.4,-21173644,-28.4,5664131024,6717,-1358,-16.8,582678,450,665,20231129,2023
6,6,119,OLD,20232536,명탐정코난: 흑철의 어영,2023-07-20,42675000,1.1,42647000,152310.7,7535590905,4603,4601,230050.0,786390,38,235,20231129,2023
7,7,-4,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,27580140,0.7,-25013428,-47.6,19160710281,3476,-2220,-39.0,1964142,205,261,20231129,2023
8,8,-2,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,22842312,0.6,5903756,34.9,440821381,3130,764,32.3,51792,140,154,20231129,2023
9,9,-4,OLD,20235034,더 마블스,2023-11-08,14764817,0.4,-12803730,-46.4,6799775447,2096,-1065,-33.7,686000,63,79,20231129,2023
10,10,21,OLD,20235631,비투비 타임 : 비투게더 더 무비,2023-11-15,41200000,1.1,36222000,727.6,560098500,2060,1811,727.3,28008,15,16,20231129,2023
