rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year
6,6,5,OLD,20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,61297500,2.4,33056500,117.1,556277900,6319,2851,82.2,53943,167,333,20230629,2023
7,7,-1,OLD,20219331,여름날 우리,2021-08-25,55879217,2.2,-41651463,-42.7,529884617,5961,-5831,-49.4,59369,222,309,20230629,2023
8,8,-1,OLD,20232220,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,93400500,3.7,-188117000,-66.8,374918000,3893,-7837,-66.8,15623,57,125,20230629,2023
9,9,-1,OLD,20231781,애스터로이드 시티,2023-06-28,33200717,1.3,-37297664,-52.9,149344098,3504,-5518,-61.2,15770,254,379,20230629,2023
10,10,-1,OLD,20231971,플래시,2023-06-14,24334507,1.0,-12921302,-34.7,6488685582,2613,-2144,-45.1,609856,233,304,20230629,2023
1,1,0,OLD,20228930,엘리멘탈,2023-06-14,889896195,25.6,218536385,32.6,14601690474,110279,41837,61.1,1485550,1032,3476,20230628,2023
2,2,14,OLD,20232273,인디아나 존스: 운명의 다이얼,2023-06-28,899860134,25.9,894869134,17929.7,918459134,106952,106611,31264.2,108049,1261,3934,20230628,2023
3,3,-1,OLD,20226411,범죄도시3,2023-05-31,478562304,13.8,-49060853,-9.3,97448250709,61293,6513,11.9,9848318,975,3674,20230628,2023
4,4,0,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,303120389,8.7,10708073,3.7,4720957944,34942,7603,27.8,442764,701,1657,20230628,2023
5,5,-2,OLD,20211937,귀공자,2023-06-21,248447782,7.1,-53731648,-17.8,4296621588,30638,-353,-1.1,442824,728,1898,20230628,2023
6,6,0,NEW,20219331,여름날 우리,2021-08-25,97530680,2.8,97530680,100.0,474005400,11792,11792,100.0,53408,224,303,20230628,2023
7,7,0,NEW,20232220,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,281517500,8.1,281517500,100.0,281517500,11730,11730,100.0,11730,72,146,20230628,2023
8,8,0,NEW,20231781,애스터로이드 시티,2023-06-28,70498381,2.0,70498381,100.0,116143381,9022,9022,100.0,12266,269,420,20230628,2023
9,9,-4,OLD,20231971,플래시,2023-06-14,37255809,1.1,-49361610,-57.0,6464351075,4757,-3743,-44.0,607243,253,324,20230628,2023
10,10,0,NEW,20081375,샤이닝,2023-06-28,28068717,0.8,28068717,100.0,85617317,3834,3834,100.0,10735,45,79,20230628,2023
1,1,0,OLD,20228930,엘리멘탈,2023-06-14,671359810,32.9,25339267,3.9,13711794279,68442,3304,5.1,1375271,1069,3689,20230627,2023
2,2,0,OLD,20226411,범죄도시3,2023-05-31,527623157,25.8,-96518821,-15.5,96969688405,54780,-9984,-15.4,9787025,1049,4584,20230627,2023
3,3,0,OLD,20211937,귀공자,2023-06-21,302179430,14.8,-25859868,-7.9,4048173806,30991,-2436,-7.3,412186,864,3192,20230627,2023
4,4,0,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,292412316,14.3,6684451,2.3,4417837555,27339,913,3.5,407822,923,2999,20230627,2023
5,5,0,OLD,20231971,플래시,2023-06-14,86617419,4.2,-4959545,-5.4,6427095266,8500,-310,-3.5,602486,554,1141,20230627,2023
6,6,0,OLD,20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,35316900,1.7,-3937300,-10.0,466739400,3407,-388,-10.2,44156,156,389,20230627,2023
7,7,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,18099498,0.9,-499821,-2.7,7704777052,1930,-14,-0.7,761475,202,255,20230627,2023
8,8,2,OLD,20227654,수라,2023-06-21,13081454,0.6,3496955,36.5,195476058,1470,441,42.9,21721,109,126,20230627,2023
9,9,2,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,9249948,0.5,-827583,-8.2,44314582255,942,-50,-5.0,4204834,64,73,20230627,2023
10,10,6,OLD,20217688,광대: 소리꾼,2022-02-24,3878000,0.2,1918000,97.9,167201770,554,274,97.9,21766,2,4,20230627,2023
1,1,0,OLD,20228930,엘리멘탈,2023-06-14,646020543,30.1,-1480486007,-69.6,13040434469,65138,-145550,-69.1,1306829,1019,3634,20230626,2023
2,2,0,OLD,20226411,범죄도시3,2023-05-31,624141978,29.0,-976066246,-61.0,96442065248,64764,-93128,-59.0,9732245,1030,4611,20230626,2023
3,3,1,OLD,20211937,귀공자,2023-06-21,328039298,15.3,-509248840,-60.8,3745994376,33427,-46775,-58.3,381195,855,3200,20230626,2023
4,4,-1,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,285727865,13.3,-674213054,-70.2,4125425239,26426,-62227,-70.2,380483,914,3029,20230626,2023
5,5,0,OLD,20231971,플래시,2023-06-14,91576964,4.3,-188515105,-67.3,6340477847,8810,-17213,-66.1,593986,554,1173,20230626,2023
6,6,0,OLD,20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,39254200,1.8,-60692600,-60.7,431422500,3795,-5561,-59.4,40749,163,401,20230626,2023
7,7,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,18599319,0.9,-42554504,-69.6,7686677554,1944,-4298,-68.9,759545,204,257,20230626,2023
8,8,0,NEW,20224579,악마들,2023-07-05,16596000,0.8,16596000,100.0,16596000,1833,1833,100.0,1833,8,9,20230626,2023
9,9,27,OLD,20231931,슈가: 로드 투 디데이,2023-06-16,23006000,1.1,20227500,728.0,76526500,1060,921,662.6,3757,64,91,20230626,2023
10,10,0,OLD,20227654,수라,2023-06-21,9584499,0.4,-6901799,-41.9,182394604,1029,-638,-38.3,20251,97,109,20230626,2023
1,1,0,OLD,20228930,엘리멘탈,2023-06-14,2126506550,34.6,40646382,1.9,12394413926,210688,4791,2.3,1241691,1331,4551,20230625,2023
2,2,0,OLD,20226411,범죄도시3,2023-05-31,1600208224,26.0,-227197584,-12.4,95817923270,157892,-23007,-12.7,9667481,1212,4887,20230625,2023
3,3,0,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,959940919,15.6,-153116324,-13.8,3839697374,88653,-13669,-13.4,354057,1039,3473,20230625,2023
4,4,0,OLD,20211937,귀공자,2023-06-21,837288138,13.6,-31562429,-3.6,3417955078,80202,-3225,-3.9,347768,885,3167,20230625,2023
5,5,0,OLD,20231971,플래시,2023-06-14,280092069,4.6,-62596000,-18.3,6248900883,26023,-5443,-17.3,585176,633,1180,20230625,2023
6,6,0,OLD,20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,99946800,1.6,-30792600,-23.6,392168300,9356,-2926,-23.8,36954,170,453,20230625,2023
7,7,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,61153823,1.0,-2046733,-3.2,7668078235,6242,-161,-2.5,757601,214,254,20230625,2023
8,8,0,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,22426328,0.4,-1259567,-5.3,44295254776,2085,-93,-4.3,4202900,67,76,20230625,2023
9,9,1,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,16646524,0.3,4698676,39.3,4462256100,1749,501,40.1,578041,79,84,20230625,2023
10,10,-1,OLD,20227654,수라,2023-06-21,16486298,0.3,1221896,8.0,172810105,1667,109,7.0,19222,106,115,20230625,2023
1,1,1,OLD,20228930,엘리멘탈,2023-06-14,2085860168,31.5,1253989679,150.7,10267907376,205897,123956,151.3,1031003,1292,4556,20230624,2023
2,2,-1,OLD,20226411,범죄도시3,2023-05-31,1827405808,27.6,883425316,93.6,94217715046,180899,86415,91.5,9509589,1220,5070,20230624,2023
3,3,0,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,1113057243,16.8,552072665,98.4,2879756455,102322,52458,105.2,265404,1068,3691,20230624,2023
4,4,0,OLD,20211937,귀공자,2023-06-21,868850567,13.1,383274226,78.9,2580666940,83427,35685,74.7,267566,889,3350,20230624,2023
5,5,0,OLD,20231971,플래시,2023-06-14,342688069,5.2,147172758,75.3,5968808814,31466,13051,70.9,559153,644,1264,20230624,2023
6,6,0,OLD,20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,130739400,2.0,-30742700,-19.0,292221500,12282,-3034,-19.8,27598,175,469,20230624,2023
7,7,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,63200556,1.0,30868807,95.5,7606924412,6403,3142,96.4,751359,213,262,20230624,2023
8,8,1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,23685895,0.4,9813964,70.7,44272828448,2178,892,69.4,4200815,64,77,20230624,2023
9,9,-1,OLD,20227654,수라,2023-06-21,15264402,0.2,2884825,23.3,156323807,1558,258,19.8,17555,106,119,20230624,2023
10,10,20,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,11947848,0.2,10060520,533.1,4445609576,1248,1052,536.7,576292,82,84,20230624,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,943980492,28.2,226900491,31.6,92390309238,94484,20224,27.2,9328690,1112,4594,20230623,2023
2,2,0,OLD,20228930,엘리멘탈,2023-06-14,831870489,24.9,262556997,46.1,8182047208,81941,23806,40.9,825106,1032,3116,20230623,2023
3,3,1,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,560984578,16.8,126297456,29.1,1766699212,49864,9089,22.3,163082,1036,3698,20230623,2023
4,4,-1,OLD,20211937,귀공자,2023-06-21,485576341,14.5,72662995,17.6,1711816373,47742,4875,11.4,184139,945,3676,20230623,2023
5,5,0,OLD,20231971,플래시,2023-06-14,195515311,5.8,55733101,39.9,5626120745,18415,5057,37.9,527687,665,1554,20230623,2023
6,6,0,NEW,20232075,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,161482100,4.8,161482100,100.0,161482100,15316,15316,100.0,15316,176,461,20230623,2023
7,7,-1,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,32331749,1.0,5672650,21.3,7543723856,3261,545,20.1,744956,236,287,20230623,2023
8,8,1,OLD,20227654,수라,2023-06-21,12379577,0.4,4707949,61.4,141059405,1300,396,43.8,15997,104,120,20230623,2023
9,9,-1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,13871931,0.4,2364375,20.5,44249142553,1286,127,11.0,4198637,65,72,20230623,2023
10,10,0,OLD,20231677,남은 인생 10년,2023-05-24,7377800,0.2,-915100,-11.0,1389190900,679,-102,-13.1,129583,36,47,20230623,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,717080001,29.3,-83362309,-10.4,91446328746,74260,-8282,-10.0,9234206,1040,4359,20230622,2023
2,2,2,OLD,20228930,엘리멘탈,2023-06-14,569313492,23.3,-21472017,-3.6,7350176719,58135,-2732,-4.5,743165,903,2683,20230622,2023
3,3,0,OLD,20211937,귀공자,2023-06-21,412913346,16.9,-212266351,-34.0,1226240032,42867,-22047,-34.0,136397,953,3755,20230622,2023
4,4,-2,OLD,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,434687122,17.8,-309242390,-41.6,1205714634,40775,-30024,-42.4,113218,1055,3751,20230622,2023
5,5,0,OLD,20231971,플래시,2023-06-14,139782210,5.7,-30979247,-18.1,5430605434,13358,-3103,-18.9,509272,685,1692,20230622,2023
6,6,1,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,26659099,1.1,-2562529,-8.8,7511392107,2716,-479,-15.0,741695,242,292,20230622,2023
7,7,0,NEW,20231589,파이어하트,2023-06-28,14000000,0.6,14000000,100.0,14000000,2000,2000,100.0,2000,16,16,20230622,2023
8,8,0,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,11507556,0.5,1029915,9.8,44235270622,1159,130,12.6,4197351,66,76,20230622,2023
9,9,-3,OLD,20227654,수라,2023-06-21,7671628,0.3,-69999572,-90.1,128679828,904,-8032,-89.9,14697,94,105,20230622,2023
10,10,-1,OLD,20231677,남은 인생 10년,2023-05-24,8292900,0.3,164000,2.0,1381813100,781,-15,-1.9,128904,42,53,20230622,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,800442310,25.5,34576976,4.5,90729248745,82542,3903,5.0,9159946,1027,4368,20230621,2023
2,2,0,NEW,20232180,스파이더맨: 어크로스 더 유니버스,2023-06-21,743929512,23.7,743929512,100.0,771027512,70799,70799,100.0,72443,1103,4013,20230621,2023
3,3,0,NEW,20211937,귀공자,2023-06-21,625179697,19.9,625179697,100.0,813326686,64914,64914,100.0,93530,966,3875,20230621,2023
4,4,-2,OLD,20228930,엘리멘탈,2023-06-14,590785509,18.8,48040758,8.9,6780863227,60867,5137,9.2,685030,856,2524,20230621,2023
5,5,-2,OLD,20231971,플래시,2023-06-14,170761457,5.4,-75376620,-30.6,5290823224,16461,-7354,-30.9,495914,685,1737,20230621,2023
6,6,64,OLD,20227654,수라,2023-06-21,77671200,2.5,77606200,119394.2,121008200,8936,8927,99188.9,13793,136,155,20230621,2023
7,7,-3,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,29221628,0.9,-51611783,-63.8,7484733008,3195,-5343,-62.6,738979,255,295,20230621,2023
8,8,-3,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,10477641,0.3,-19709396,-65.3,44223763066,1029,-1954,-65.5,4196192,67,79,20230621,2023
9,9,-3,OLD,20231677,남은 인생 10년,2023-05-24,8128900,0.3,-3057200,-27.3,1373520200,796,-277,-25.8,128123,41,53,20230621,2023
10,10,0,NEW,20232169,마마무: 마이콘 더 무비,2023-06-21,12340000,0.4,12340000,100.0,12340000,617,617,100.0,617,18,34,20230621,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,765865334,43.7,-73226011,-8.7,89928806435,78639,-7745,-9.0,9077404,1351,6633,20230620,2023
2,2,0,OLD,20228930,엘리멘탈,2023-06-14,542744751,30.9,29581970,5.8,6190077718,55730,3332,6.4,624163,1043,3864,20230620,2023
3,3,0,OLD,20231971,플래시,2023-06-14,246138077,14.0,-46266679,-15.8,5120061767,23815,-4517,-15.9,479453,1121,3819,20230620,2023
4,4,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,80833411,4.6,-801549,-1.0,7455511380,8538,213,2.6,735784,565,1227,20230620,2023
5,5,0,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,30187037,1.7,2926474,10.7,44213285425,2983,262,9.6,4195163,202,266,20230620,2023
6,6,1,OLD,20231677,남은 인생 10년,2023-05-24,11186100,0.6,1035600,10.2,1365391300,1073,37,3.6,127327,56,96,20230620,2023
7,7,3,OLD,20231592,분노의 질주: 라이드 오어 다이,2023-05-17,6893618,0.4,1656738,31.6,18453317152,711,161,29.3,1771324,68,88,20230620,2023
8,8,0,OLD,20231839,인어공주,2023-05-24,6634077,0.4,-584734,-8.1,6635969409,678,-43,-6.0,644412,72,89,20230620,2023
9,9,2,OLD,20239611,너의 눈을 들여다보면,2023-06-14,5263300,0.3,1212595,29.9,72411533,602,137,29.5,7283,61,76,20230620,2023
10,10,5,OLD,20226270,스즈메의 문단속,2023-03-08,4277766,0.2,1191644,38.6,56759597320,441,126,40.0,5535427,37,43,20230620,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,839091345,45.2,-1529234874,-64.6,89162941101,86384,-145547,-62.8,8998765,1320,6611,20230619,2023
2,2,0,OLD,20228930,엘리멘탈,2023-06-14,513162781,27.7,-1284376896,-71.5,5647332967,52398,-126827,-70.8,568433,1006,3713,20230619,2023
3,3,0,OLD,20231971,플래시,2023-06-14,292404756,15.8,-815069213,-73.6,4873923690,28332,-74378,-72.4,455638,1125,3984,20230619,2023
4,4,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,81634960,4.4,-212145280,-72.2,7374677969,8325,-21332,-71.9,727246,566,1235,20230619,2023
5,5,1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,27260563,1.5,-39413744,-59.1,44183098388,2721,-3532,-56.5,4192180,195,256,20230619,2023
6,6,0,NEW,20224596,인드림,2023-06-21,9779000,0.5,9779000,100.0,9779000,1397,1397,100.0,1397,5,6,20230619,2023
7,7,2,OLD,20231677,남은 인생 10년,2023-05-24,10150500,0.5,-9756100,-49.0,1354205200,1036,-832,-44.5,126254,57,100,20230619,2023
8,8,-1,OLD,20231839,인어공주,2023-05-24,7218811,0.4,-21641693,-75.0,6629335332,721,-2011,-73.6,643734,76,94,20230619,2023
9,9,9,OLD,20231937,제이홉 인 더 박스,2023-06-16,13442000,0.7,2123500,18.8,54349000,611,35,6.1,2677,54,80,20230619,2023
10,10,1,OLD,20231592,분노의 질주: 라이드 오어 다이,2023-05-17,5236880,0.3,-6716109,-56.2,18446423534,550,-635,-53.6,1770613,67,86,20230619,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,2368326219,39.8,-481937703,-16.9,88323849756,231931,-46786,-16.8,8912381,1454,7094,20230618,2023
2,2,0,OLD,20228930,엘리멘탈,2023-06-14,1797539677,30.2,4363831,0.2,5134170186,179225,1374,0.8,516035,1251,4481,20230618,2023
3,3,0,OLD,20231971,플래시,2023-06-14,1107473969,18.6,-304901218,-21.6,4581518934,102710,-27597,-21.2,427306,1212,4390,20230618,2023
4,4,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,293780240,4.9,-32501268,-10.0,7293043009,29657,-3005,-9.2,718921,640,1228,20230618,2023
5,5,1,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,70326000,1.2,8090059,13.0,4420170994,7369,894,13.8,573595,335,392,20230618,2023
6,6,-1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,66674307,1.1,-7835254,-10.5,44155837825,6253,-792,-11.2,4189459,204,254,20230618,2023
7,7,1,OLD,20231839,인어공주,2023-05-24,28860504,0.5,1824653,6.7,6622116521,2732,156,6.1,643013,110,123,20230618,2023
8,8,-1,OLD,20211937,귀공자,2023-06-21,24288289,0.4,-18488411,-43.2,188146989,2004,-1542,-43.5,28616,12,12,20230618,2023
9,9,0,OLD,20231677,남은 인생 10년,2023-05-24,19906600,0.3,-1805500,-8.3,1344054700,1868,-171,-8.4,125218,56,98,20230618,2023
10,10,5,OLD,20232183,비의도적 연애담 스페셜,2023-06-14,22890000,0.4,6390500,38.7,54599000,1526,426,38.7,3640,22,28,20230618,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,2850263922,41.9,1453484836,104.1,85955523537,278717,139722,100.5,8680450,1464,7378,20230617,2023
2,2,0,OLD,20228930,엘리멘탈,2023-06-14,1793175846,26.4,1140756210,174.9,3336630509,177851,112852,173.6,336810,1221,4477,20230617,2023
3,3,0,OLD,20231971,플래시,2023-06-14,1412375187,20.8,751808631,113.8,3474044965,130307,69713,115.0,324596,1239,4645,20230617,2023
4,4,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,326281508,4.8,167091544,105.0,6999262769,32662,16468,101.7,689264,626,1259,20230617,2023
5,5,1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,74509561,1.1,36981326,98.5,44089163518,7045,3416,94.1,4183206,202,253,20230617,2023
6,6,7,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,62235941,0.9,55283563,795.2,4349844994,6475,5720,757.6,566226,326,388,20230617,2023
7,7,-2,OLD,20211937,귀공자,2023-06-21,42776700,0.6,7136700,20.0,163858700,3546,-3582,-50.3,26612,16,16,20230617,2023
8,8,3,OLD,20231839,인어공주,2023-05-24,27035851,0.4,17228264,175.7,6593256017,2576,1622,170.0,640281,103,123,20230617,2023
9,9,-2,OLD,20231677,남은 인생 10년,2023-05-24,21712100,0.3,6766500,45.3,1324148100,2039,527,34.9,123350,57,103,20230617,2023
10,10,2,OLD,20231592,분노의 질주: 라이드 오어 다이,2023-05-17,14698775,0.2,6243513,73.8,18429233665,1424,563,65.4,1768878,67,76,20230617,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,1396779086,45.0,380017707,37.4,83105259615,138995,33518,31.8,8401733,1424,7010,20230616,2023
2,2,1,OLD,20228930,엘리멘탈,2023-06-14,652419636,21.0,252083748,63.0,1543454663,64999,23078,55.1,158959,999,3640,20230616,2023
3,3,-1,OLD,20231971,플래시,2023-06-14,660566556,21.3,147471663,28.7,2061669778,60594,10794,21.7,194289,1258,4676,20230616,2023
4,4,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,159189964,5.1,45333822,39.8,6672981261,16194,4127,34.2,656602,646,1479,20230616,2023
5,5,9,OLD,20211937,귀공자,2023-06-21,35640000,1.1,31640000,791.0,121082000,7128,6628,1325.6,23066,36,36,20230616,2023
6,6,-1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,37528235,1.2,10722494,40.0,44014653957,3629,935,34.7,4176161,191,242,20230616,2023
7,7,-1,OLD,20231677,남은 인생 10년,2023-05-24,14945600,0.5,1880300,14.4,1302436000,1512,145,10.6,121311,53,93,20230616,2023
8,8,0,NEW,20231937,제이홉 인 더 박스,2023-06-16,22910000,0.7,22910000,100.0,22910000,1149,1149,100.0,1149,80,137,20230616,2023
9,8,0,NEW,20231931,슈가: 로드 투 디데이,2023-06-16,22910000,0.7,22910000,100.0,22910000,1149,1149,100.0,1149,80,137,20230616,2023
10,10,-3,OLD,20231935,아버지의 마음,2023-07-20,9890000,0.3,-833000,-7.8,28152000,985,-202,-17.0,3063,4,4,20230616,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,1016761379,46.0,-58643082,-5.5,81708480529,105477,-5668,-5.1,8262738,1353,6720,20230615,2023
2,2,0,OLD,20231971,플래시,2023-06-14,513094893,23.2,-247306647,-32.5,1401103222,49800,-22826,-31.4,133695,1258,4586,20230615,2023
3,3,0,OLD,20228930,엘리멘탈,2023-06-14,400335888,18.1,-53332251,-11.8,891035027,41921,-6081,-12.7,93960,953,3418,20230615,2023
4,4,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,113856142,5.2,205667,0.2,6513791297,12067,82,0.7,640408,613,1465,20230615,2023
5,5,1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,26805741,1.2,1353284,5.3,43977125722,2694,176,7.0,4172532,188,229,20230615,2023
6,6,2,OLD,20231677,남은 인생 10년,2023-05-24,13065300,0.6,1413200,12.1,1287490400,1367,98,7.7,119799,62,96,20230615,2023
7,7,0,NEW,20231935,아버지의 마음,2023-07-20,10723000,0.5,10723000,100.0,18262000,1187,1187,100.0,2078,6,6,20230615,2023
8,8,3,OLD,20231839,인어공주,2023-05-24,8772769,0.4,183371,2.1,6556412579,931,65,7.5,636751,73,84,20230615,2023
9,9,-2,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,7817706,0.4,-11568616,-59.7,4280656675,917,-1341,-59.4,558996,127,132,20230615,2023
10,10,0,OLD,20239611,너의 눈을 들여다보면,2023-06-14,7673500,0.3,98000,1.3,35931800,885,8,0.9,3493,71,87,20230615,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,1075404461,41.6,-84572198,-7.3,80691719150,111145,-9019,-7.5,8157261,1364,6710,20230614,2023
2,2,1,OLD,20231971,플래시,2023-06-14,760401540,29.4,638662751,524.6,888008329,72626,62009,584.1,83895,1255,4684,20230614,2023
3,3,14,OLD,20228930,엘리멘탈,2023-06-14,453668139,17.6,450221139,13061.2,490699139,48002,47619,12433.2,52039,956,3415,20230614,2023
4,4,-2,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,113650475,4.4,-113105425,-49.9,6399935155,11985,-10892,-47.6,628341,635,1471,20230614,2023
5,5,3,OLD,20211937,귀공자,2023-06-21,29081000,1.1,19995000,220.1,81442000,5009,3235,182.4,15438,31,31,20230614,2023
6,6,-2,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,25452457,1.0,-34354719,-57.4,43950319981,2518,-3493,-58.1,4169838,186,227,20230614,2023
7,7,3,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,19386322,0.8,10472939,117.5,4272838969,2258,1266,127.6,558079,181,194,20230614,2023
8,8,-1,OLD,20231677,남은 인생 10년,2023-05-24,11652100,0.5,-4415800,-27.5,1274425100,1269,-570,-31.0,118432,57,93,20230614,2023
9,9,33,OLD,19870150,탑건,1987-12-19,7279000,0.3,6755000,1289.1,157230200,904,846,1458.6,19346,15,15,20230614,2023
10,10,14,OLD,20239611,너의 눈을 들여다보면,2023-06-14,7575500,0.3,4291500,130.7,28258300,877,630,255.1,2608,63,84,20230614,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,1159976659,66.7,-232059786,-16.7,79616314689,120164,-23128,-16.1,8046116,2059,10442,20230613,2023
2,2,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,226755900,13.0,-8767836,-3.7,6286284680,22877,-1124,-4.7,616356,1049,3705,20230613,2023
3,3,0,NEW,20231971,플래시,2023-06-14,121738789,7.0,121738789,100.0,127606789,10617,10617,100.0,11269,433,434,20230613,2023
4,4,-1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,59807176,3.4,-1676917,-2.7,43924867524,6011,-95,-1.6,4167320,454,704,20230613,2023
5,5,-1,OLD,20231592,분노의 질주: 라이드 오어 다이,2023-05-17,25213439,1.4,-1003982,-3.8,18392948267,2608,-64,-2.4,1765256,286,383,20230613,2023
6,6,-1,OLD,20231839,인어공주,2023-05-24,18296585,1.1,1141536,6.7,6539050412,1840,165,9.9,634954,181,237,20230613,2023
7,7,0,OLD,20231677,남은 인생 10년,2023-05-24,16067900,0.9,1628900,11.3,1262773000,1839,486,35.9,117163,90,151,20230613,2023
8,8,0,NEW,20211937,귀공자,2023-06-21,9086000,0.5,9086000,100.0,52361000,1774,1774,100.0,10429,8,8,20230613,2023
9,9,0,NEW,20231577,라방,2023-06-28,7413000,0.4,7413000,100.0,8281000,1059,1059,100.0,1183,4,5,20230613,2023
10,10,-2,OLD,20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,8913383,0.5,-2197143,-19.8,4253452647,992,-244,-19.7,555821,190,217,20230613,2023
1,1,0,OLD,20226411,범죄도시3,2023-05-31,1392036445,75.1,-3509959289,-71.6,78456338030,143292,-338146,-70.2,7925952,1968,10871,20230612,2023
2,2,0,OLD,20232025,트랜스포머: 비스트의 서막,2023-06-06,235523736,12.7,-912758656,-79.5,6059528780,24001,-87125,-78.4,593479,973,3843,20230612,2023
3,3,1,OLD,20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,61484093,3.3,-106336544,-63.4,43865060348,6106,-9717,-61.4,4161309,423,699,20230612,2023
4,4,2,OLD,20231592,분노의 질주: 라이드 오어 다이,2023-05-17,26217421,1.4,-32899148,-55.7,18367734828,2672,-3103,-53.7,1762648,274,382,20230612,2023
5,5,0,OLD,20231839,인어공주,2023-05-24,17155049,0.9,-95739606,-84.8,6520753827,1675,-9324,-84.8,633114,179,230,20230612,2023
6,6,0,NEW,20228930,엘리멘탈,2023-06-14,14447000,0.8,14447000,100.0,33584000,1541,1541,100.0,3654,6,6,20230612,2023
7,7,1,OLD,20231677,남은 인생 10년,2023-05-24,14439000,0.8,-27119900,-65.3,1246705100,1353,-2415,-64.1,115324,88,158,20230612,2023
