buzz_id,movie_id,buzz_date,search_buzz_vol
1,20224579,2023-06-21,9.44731
2,20224579,2023-06-22,7.93039
3,20224579,2023-06-23,8.71031
4,20224579,2023-06-24,11.03412
5,20224579,2023-06-25,7.41045
6,20224579,2023-06-26,14.74854
7,20224579,2023-06-27,23.30557
8,20224579,2023-06-28,25.66372
9,20224579,2023-06-29,29.68962
10,20224579,2023-06-30,17.54938
11,20224579,2023-07-01,21.10071
12,20224579,2023-07-02,20.96091
13,20224579,2023-07-03,27.84651
14,20224579,2023-07-04,40.32643
15,20224579,2023-07-05,100.0
16,20227410,2023-09-13,6.48564
17,20227410,2023-09-14,6.96801
18,20227410,2023-09-15,7.77652
19,20227410,2023-09-16,17.93443
20,20227410,2023-09-17,13.05799
21,20227410,2023-09-18,9.14005
22,20227410,2023-09-19,9.98254
23,20227410,2023-09-20,15.43079
24,20227410,2023-09-21,13.13181
25,20227410,2023-09-22,18.46523
26,20227410,2023-09-23,20.29864
27,20227410,2023-09-24,19.14134
28,20227410,2023-09-25,21.11339
29,20227410,2023-09-26,30.63895
30,20227410,2023-09-27,100.0
31,20225894,2023-10-25,10.84135
32,20225894,2023-10-26,8.1356
33,20225894,2023-10-27,16.49171
34,20225894,2023-10-28,20.02205
35,20225894,2023-10-29,12.52497
36,20225894,2023-10-30,13.03259
37,20225894,2023-10-31,16.83625
38,20225894,2023-11-01,28.73188
39,20225894,2023-11-02,27.35374
40,20225894,2023-11-03,38.82674
41,20225894,2023-11-04,39.39867
42,20225894,2023-11-05,66.92238
43,20225894,2023-11-06,50.02641
44,20225894,2023-11-07,69.59597
45,20225894,2023-11-08,100.0
46,20208962,2023-02-15,3.36213
47,20208962,2023-02-16,2.98174
48,20208962,2023-02-17,4.86193
49,20208962,2023-02-18,6.08576
50,20208962,2023-02-19,4.42915
51,20208962,2023-02-20,5.19147
52,20208962,2023-02-21,5.85132
53,20208962,2023-02-22,5.55245
54,20208962,2023-02-23,9.91639
55,20208962,2023-02-24,13.80136
56,20208962,2023-02-25,19.04756
57,20208962,2023-02-26,21.85813
58,20208962,2023-02-27,25.11003
59,20208962,2023-02-28,37.63711
60,20208962,2023-03-01,100.0
61,20193706,2023-02-08,7.67653
62,20193706,2023-02-09,9.21462
63,20193706,2023-02-10,9.37033
64,20193706,2023-02-11,9.85011
65,20193706,2023-02-12,9.39691
66,20193706,2023-02-13,12.83388
67,20193706,2023-02-14,22.33587
68,20193706,2023-02-15,24.86264
69,20193706,2023-02-16,19.53692
70,20193706,2023-02-17,22.59918
71,20193706,2023-02-18,34.0241
72,20193706,2023-02-19,28.44899
73,20193706,2023-02-20,25.66144
74,20193706,2023-02-21,33.19112
75,20193706,2023-02-22,100.0
76,20218541,2023-07-12,11.27199
77,20218541,2023-07-13,9.44396
78,20218541,2023-07-14,12.53129
79,20218541,2023-07-15,14.47673
80,20218541,2023-07-16,11.88597
81,20218541,2023-07-17,10.20384
82,20218541,2023-07-18,13.5662
83,20218541,2023-07-19,26.54722
84,20218541,2023-07-20,25.2107
85,20218541,2023-07-21,27.69543
86,20218541,2023-07-22,33.48999
87,20218541,2023-07-23,31.54423
88,20218541,2023-07-24,34.08847
89,20218541,2023-07-25,35.53987
90,20218541,2023-07-26,100.0
91,20197654,2023-03-01,23.30747
92,20197654,2023-03-02,15.53183
93,20197654,2023-03-03,13.88304
94,20197654,2023-03-04,16.33767
95,20197654,2023-03-05,24.95979
