movieCd,title,budget,ons,year,platform,platform_mau,platform_beta,holdback_days,digital_fee,digital_fee_billion,fee_ratio
20208962,대외비,10200000000,9.6,2023,Tving,4110000,0.15,30,318370232.88987994,3.1837023288987996,3.1212767930380387
20208962,대외비,10200000000,9.6,2023,Tving,4110000,0.15,60,113433295.5706551,1.134332955706551,1.1120911330456382
20208962,대외비,10200000000,9.6,2023,Tving,4110000,0.15,90,40415564.06584711,0.40415564065847104,0.39623102025340295
20208962,대외비,10200000000,9.6,2023,Wavve,2930000,0.13,0,888471243.9891963,8.884712439891963,8.710502392050943
20208962,대외비,10200000000,9.6,2023,Wavve,2930000,0.13,30,309049754.70525134,3.0904975470525136,3.0298995559338366
20208962,대외비,10200000000,9.6,2023,Wavve,2930000,0.13,60,107501229.25141901,1.07501229251419,1.053933620111951
20208962,대외비,10200000000,9.6,2023,Wavve,2930000,0.13,90,37393701.54682016,0.3739370154682016,0.3666049171256878
20193706,카운트,5000000000,9.4,2023,Netflix,11560000,0.02,0,519152406.2473413,5.1915240624734125,10.383048124946825
20193706,카운트,5000000000,9.4,2023,Netflix,11560000,0.02,30,157306714.2813799,1.573067142813799,3.1461342856275984
20193706,카운트,5000000000,9.4,2023,Netflix,11560000,0.02,60,47665005.613427065,0.47665005613427064,0.9533001122685413
20193706,카운트,5000000000,9.4,2023,Netflix,11560000,0.02,90,14442821.277571872,0.1444282127757187,0.2888564255514375
20193706,카운트,5000000000,9.4,2023,Tving,4110000,0.15,0,438020254.33279,4.380202543327901,8.760405086655801
20193706,카운트,5000000000,9.4,2023,Tving,4110000,0.15,30,155130260.15322337,1.5513026015322338,3.102605203064467
20193706,카운트,5000000000,9.4,2023,Tving,4110000,0.15,60,54941289.534348436,0.5494128953434844,1.0988257906869687
20193706,카운트,5000000000,9.4,2023,Tving,4110000,0.15,90,19458133.395223256,0.19458133395223257,0.38916266790446513
20193706,카운트,5000000000,9.4,2023,Wavve,2930000,0.13,0,435525119.6025472,4.355251196025472,8.710502392050945
20193706,카운트,5000000000,9.4,2023,Wavve,2930000,0.13,30,150588729.39386377,1.5058872939386376,3.0117745878772753
20193706,카운트,5000000000,9.4,2023,Wavve,2930000,0.13,60,52068099.86333954,0.5206809986333955,1.041361997266791
20193706,카운트,5000000000,9.4,2023,Wavve,2930000,0.13,90,18003253.193589747,0.18003253193589747,0.36006506387179493
20218541,밀수,17500000000,4.2,2023,Netflix,11560000,0.02,0,1817033421.8656945,18.170334218656944,10.383048124946825
20218541,밀수,17500000000,4.2,2023,Netflix,11560000,0.02,30,471048217.88675886,4.710482178867589,2.6917041022100507
20218541,밀수,17500000000,4.2,2023,Netflix,11560000,0.02,60,122114662.78174607,1.2211466278174608,0.697798073038549
20218541,밀수,17500000000,4.2,2023,Netflix,11560000,0.02,90,31657037.008224998,0.31657037008225,0.18089735433271428
20218541,밀수,17500000000,4.2,2023,Tving,4110000,0.15,0,1533070890.1647651,15.33070890164765,8.760405086655801
20218541,밀수,17500000000,4.2,2023,Tving,4110000,0.15,30,464530919.2255805,4.645309192255805,2.6544623955747455
20218541,밀수,17500000000,4.2,2023,Tving,4110000,0.15,60,140756031.7666531,1.407560317666531,0.804320181523732
20218541,밀수,17500000000,4.2,2023,Tving,4110000,0.15,90,42650036.108950645,0.42650036108950645,0.24371449205114654
20218541,밀수,17500000000,4.2,2023,Wavve,2930000,0.13,0,1524337918.6089153,15.243379186089154,8.710502392050945
20218541,밀수,17500000000,4.2,2023,Wavve,2930000,0.13,30,450931499.89725065,4.509314998972506,2.5767514279842896
20218541,밀수,17500000000,4.2,2023,Wavve,2930000,0.13,60,133395105.58469087,1.3339510558469088,0.7622577461982335
20218541,밀수,17500000000,4.2,2023,Wavve,2930000,0.13,90,39461102.62424654,0.39461102624246536,0.2254920149956945
