movieCd,title,budget,ons,digital_fee_netflix_30d,digital_fee_billion_netflix_30d,fee_ratio_netflix_30d
20225969,늘봄가든,3500000000,6.8,101841722.88318482,1.0184172288318483,2.909763510948138
20233038,리볼버,8000000000,9.6,253179429.49262464,2.531794294926246,3.164742868657808
20240479,타로,10400000000,6.8,302615405.13860625,3.0261540513860625,2.909763510948137
20191143,원더랜드,10000000000,9.4,314581126.3057445,3.1458112630574453,3.145811263057445
20234675,파묘,14000000000,6.8,407366891.5327393,4.073668915327393,2.909763510948138
20235253,외계+인 2부,37000000000,8.4,1129550241.159655,11.295502411596551,3.0528384896206897
20228797,범죄도시4,15300000000,9.6,484205658.9046446,4.842056589046446,3.164742868657808
20235353,길위에 김대중,430000000,7.4,12739237.9506587,0.127392379506587,2.962613476897372
20236230,씬,1200000000,6.8,34917162.13137765,0.34917162131377655,2.9097635109481375
20212668,도그데이즈,8200000000,9.4,257956523.57071054,2.5795652357071055,3.1458112630574457
20206946,시민덕희,6500000000,4.2,174942802.92329484,1.7494280292329485,2.691427737281459
20211477,데드맨,7500000000,9.6,237355715.1493356,2.373557151493356,3.164742868657808
