holdback,theater_revenue,digital_fee,total_profit,theater_revenue_억,digital_fee_억,total_profit_억
0,1176383790.525161,20000000.0,1196383790.525161,11.763837905251611,0.2,11.96383790525161
1,1179697514.7471979,19702238.792061254,1199399753.5392592,11.79697514747198,0.19702238792061255,11.993997535392593
2,1182913303.6178854,19408910.670970164,1202322214.2888556,11.829133036178854,0.19408910670970164,12.023222142888555
3,1186034051.564279,19119949.636662,1205154001.200941,11.860340515642791,0.19119949636661998,12.051540012009411
4,1189062567.4701874,18835290.671684973,1207897858.1418724,11.890625674701875,0.18835290671684973,12.078978581418724
5,1192001577.2043567,18554869.726571057,1210556446.9309278,11.920015772043566,0.18554869726571058,12.105564469309277
6,1194853726.0739372,18278623.705424562,1213132349.7793617,11.948537260739371,0.18278623705424563,12.131323497793618
7,1197621581.2054367,18006490.45172531,1215628071.657162,11.976215812054367,0.18006490451725313,12.156280716571619
8,1200307633.8553097,17738408.73434315,1218046042.5896528,12.003076338553097,0.1773840873434315,12.180460425896527
9,1202914301.6522555,17474318.23376069,1220388619.8860161,12.029143016522555,0.17474318233760688,12.203886198860161
10,1205443930.7732458,17214159.528501157,1222658090.301747,12.054439307732459,0.17214159528501158,12.22658090301747
11,1207898798.0552454,16957874.081758317,1224856672.1370037,12.078987980552453,0.16957874081758317,12.248566721370036
12,1210281113.044516,16705404.22822544,1226986517.2727416,12.102811130445161,0.1670540422822544,12.269865172727416
13,1212593019.9853597,16456693.161120368,1229049713.14648,12.125930199853597,0.16456693161120367,12.2904971314648
14,1214836599.750081,16211684.919403741,1231048284.6694849,12.148365997500811,0.1621168491940374,12.310482846694848
15,1217013871.7119145,15970324.37518754,1232984196.0871022,12.170138717119146,0.15970324375187542,12.329841960871022
16,1219126795.5625963,15732557.22133107,1234859352.7839274,12.191267955625964,0.1573255722133107,12.348593527839274
17,1221177273.0762188,15498329.95922162,1236675603.0354404,12.211772730762188,0.1549832995922162,12.366756030354404
18,1223167149.8209553,15267589.886737064,1238434739.7076924,12.231671498209552,0.15267589886737062,12.384347397076924
19,1225098216.8201966,15040285.086387653,1240138501.9065843,12.250982168201967,0.15040285086387653,12.401385019065843
20,1226972212.1645937,14816364.413634358,1241788576.578228,12.269722121645938,0.1481636441363436,12.41788576578228
21,1228790822.5764542,14595777.485381136,1243386600.0618353,12.287908225764541,0.14595777485381137,12.433866000618353
22,1230555684.9279091,14378474.668638524,1244934159.5965476,12.30555684927909,0.14378474668638525,12.449341595965477
23,1232268387.7142065,14164407.069356,1246432794.7835624,12.322683877142065,0.14164407069356,12.464327947835624
24,1233930472.4834647,13953526.52142062,1247883999.0048854,12.339304724834648,0.1395352652142062,12.478839990048854
25,1235543435.2241707,13745785.575819444,1249289220.7999902,12.355434352241707,0.13745785575819444,12.492892207999901
26,1237108727.7116687,13541137.489963293,1250649865.201632,12.371087277116688,0.13541137489963292,12.50649865201632
27,1238627758.8148582,13339536.217169488,1251967295.0320277,12.386277588148582,0.13339536217169487,12.519672950320277
28,1240101895.7642698,13140936.396301135,1253242832.1605709,12.401018957642698,0.13140936396301137,12.532428321605709
29,1241532465.3826652,12945293.341560693,1254477758.7242258,12.415324653826652,0.12945293341560693,12.544777587242258
