policy,U_MD,U_Indie,U_OTT,U_Consumer,W_Industry,U_MD_조,U_Indie_조,U_OTT_조,U_Consumer_조,W_Industry_조
Laissez-faire (자율),3484910854108.026,312657768414.77094,349966811944.4652,-11967617531.86464,4135567816935.3975,3.484910854108026,0.31265776841477094,0.3499668119444652,-0.011967617531864639,4.1355678169353975
Uniform_180 (일괄 규제),3554722946019.857,312179227656.0384,63254417465.48226,-151996726966.3608,3778159864175.017,3.554722946019857,0.3121792276560384,0.06325441746548226,-0.1519967269663608,3.778159864175017
Dynamic (동적 차등),3406386095346.3394,333381370995.71893,697264600576.7477,39754301565.36085,4476786368484.167,3.406386095346339,0.3333813709957189,0.6972646005767477,0.03975430156536085,4.476786368484167
