movieCd,title,TFS,ONS,cannibalization_coef,gamma,optimal_holdback,max_profit,optimal_theater_revenue,optimal_digital_fee,max_profit_억,holdback_range
20224579,악마들,8.4,4.2,0.0866585477289124,0.7713988809993032,161.0,1288897865.68943,1287110518.910995,1787346.7784350638,12.8889786568943,91-180일
20227410,천박사 퇴마 연구소: 설경의 비밀,8.3,8.4,0.1193080709929745,0.7713988809993032,182.0,72413618888.53526,72339921091.21028,73697797.3249841,724.1361888853527,181-365일
20225894,뉴 노멀,4.9,9.6,0.381267096434071,0.7713988809993032,246.0,19821910281.013626,19812420920.23756,9489360.776064938,198.21910281013626,181-365일
20208962,대외비,4.9,9.6,0.381267096434071,0.7713988809993032,246.0,53206180227.983955,53180708785.90083,25471442.08312168,532.0618022798395,181-365일
20193706,카운트,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,25731371744.89096,25719071636.20714,12300108.68381915,257.3137174489096,181-365일
20218541,밀수,8.4,4.2,0.0866585477289124,0.7713988809993032,161.0,112778563247.82513,112622170404.71207,156392843.11306807,1127.7856324782513,91-180일
20197654,소울메이트,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,20585097395.912766,20575257308.96571,9840086.947055321,205.85097395912766,181-365일
20227626,화란,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,20585097395.912766,20575257308.96571,9840086.947055321,205.85097395912766,181-365일
20225824,치악산,7.2,6.8,0.1794198100866217,0.7713988809993032,205.0,12044666996.215565,12035429070.539228,9237925.676336024,120.44666996215565,181-365일
20224667,잠,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,25731371744.89096,25719071636.20714,12300108.68381915,257.3137174489096,181-365일
20224517,용감한 시민,8.4,4.2,0.0866585477289124,0.7713988809993032,161.0,51555914627.57721,51484420756.439804,71493871.13740255,515.5591462757722,91-180일
20202247,싱글 인 서울,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,23158234570.401863,23147164472.586426,11070097.815437237,231.58234570401862,181-365일
20212866,서울의 봄,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,119650878613.74295,119593683108.36319,57195505.37975905,1196.5087861374295,181-365일
20234673,뽀로로 극장판 슈퍼스타 대모험,8.7,6.8,0.0833020546830744,0.7713988809993032,159.0,24888460183.748764,24853466371.508636,34993812.240126856,248.88460183748765,91-180일
20218935,더 문,9.0,7.4,0.0663670215881636,0.7713988809993032,145.0,186358820562.21768,186040717731.93954,318102830.2781386,1863.588205622177,91-180일
20226500,달짝지근해: 7510,4.4,5.8,0.337480118972455,0.7713988809993032,235.0,32769747686.384735,32750604011.594814,19143674.789919738,327.6974768638473,181-365일
20203702,노량: 죽음의 바다,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,160563759688.1196,160487007009.93256,76752678.18703151,1605.637596881196,181-365일
20223896,거미집,4.4,5.8,0.337480118972455,0.7713988809993032,235.0,48398396582.968216,48370122847.893875,28273735.074343,483.9839658296822,181-365일
20197122,1947 보스톤,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,108071761328.54202,108020100872.06998,51660456.47204044,1080.7176132854202,181-365일
20228819,30일,4.4,5.8,0.337480118972455,0.7713988809993032,235.0,30248997864.355137,30231326779.933674,17671084.421464372,302.48997864355135,181-365일
20204264,콘크리트 유토피아,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,97264585195.6878,97218090784.86298,46494410.82483639,972.645851956878,181-365일
20198482,드림,4.4,5.8,0.337480118972455,0.7713988809993032,235.0,70076845052.42273,70035907040.17967,40938012.243059136,700.7684505242273,181-365일
20223565,다음 소희,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,7719411523.467288,7715721490.862143,3690032.6051457454,77.19411523467288,181-365일
20231577,라방,4.9,9.6,0.381267096434071,0.7713988809993032,246.0,4173033743.37129,4171035983.207908,1997760.1633820925,41.730337433712904,181-365일
20200622,소년들,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,51462743489.78192,51438143272.41428,24600217.3676383,514.6274348978192,181-365일
20231681,오픈 더 도어,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,23158234570.401863,23147164472.586426,11070097.815437237,231.58234570401862,181-365일
20192995,보호자,8.4,4.2,0.0866585477289124,0.7713988809993032,161.0,51555914627.57721,51484420756.439804,71493871.13740255,515.5591462757722,91-180일
20202026,마루이 비디오,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,15438823046.934576,15431442981.724285,7380065.210291491,154.38823046934576,181-365일
20193879,비공식작전,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,102925486979.56384,102876286544.82857,49200434.7352766,1029.2548697956383,181-365일
20227684,멍뭉이,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,15438823046.934576,15431442981.724285,7380065.210291491,154.38823046934576,181-365일
20226411,범죄도시3,4.9,9.6,0.381267096434071,0.7713988809993032,246.0,70419944419.39052,70386232216.63344,33712202.75707281,704.1994441939052,181-365일
20231773,빈틈없는 사이,4.7,9.4,0.3921756988330451,0.7713988809993032,247.0,10292548697.956383,10287628654.482855,4920043.473527661,102.92548697956383,181-365일
20233014,타겟,4.9,9.6,0.381267096434071,0.7713988809993032,246.0,23473314806.463505,23462077405.54448,11237400.91902427,234.73314806463506,181-365일
20233235,가문의 영광: 리턴즈,4.4,5.8,0.337480118972455,0.7713988809993032,235.0,20165998576.236755,20154217853.289112,11780722.947642917,201.65998576236754,181-365일
